file_id	text_length	beer	drunk	brandy	liquor	intoxicat	booz	drunkard	temperance	alcohol	terms_sum
1718-01-10_t17180110-30-punish160.txt	788.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-02-27_t17180227-41-verdict217.txt	441.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-04-23_t17180423-38-punish204.txt	112.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-04-23_t17180423-47-punish248.txt	133.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-04-23_t17180423-49-verdict260.txt	271.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-04-23_t17180423-50-verdict266.txt	1575.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-04-23_t17180423-53-verdict278.txt	393.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-05-30_t17180530-13-verdict64.txt	191.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1718-05-30_t17180530-7-punish34.txt	117.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-07-09_t17180709-1-punish7.txt	4561.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-07-09_t17180709-31-punish155.txt	246.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-07-09_t17180709-37-verdict184.txt	1448.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1718-09-10_t17180910-73-verdict367.txt	1340.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1718-12-05_t17181205-40-punish218.txt	51.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-02-25_t17190225-19-punish106.txt	242.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-04-08_t17190408-25-punish130.txt	200.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-05-14_t17190514-2-punish11.txt	141.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-05-14_t17190514-45-verdict255.txt	942.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1719-07-08_t17190708-21-punish112.txt	84.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-07-08_t17190708-25-punish133.txt	159.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-07-08_t17190708-52-punish259.txt	277.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-07-08_t17190708-59-verdict296.txt	262.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-09-03_t17190903-41-verdict215.txt	457.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-09-03_t17190903-44-punish230.txt	196.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-10-14_t17191014-2-punish10.txt	459.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-12-04_t17191204-42-punish265.txt	358.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1719-12-04_t17191204-45-punish279.txt	100.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-01-15_t17200115-36-verdict193.txt	376.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-03-03_t17200303-29-punish161.txt	401.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
1720-03-03_t17200303-5-punish28.txt	448.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-03-03_t17200303-6-punish34.txt	136.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-04-27_t17200427-38-verdict193.txt	217.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-07-12_t17200712-15-punish80.txt	2071.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-09-07_t17200907-27-verdict137.txt	234.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-09-07_t17200907-40-punish206.txt	269.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-09-07_t17200907-41-verdict212.txt	814.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-10-12_t17201012-17-punish105.txt	440.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-10-12_t17201012-4-punish24.txt	231.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1720-12-07_t17201207-30-punish164.txt	186.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
